,mean_abs_shap
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_18,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_12,0.0
BASEMENTAREA_MODE_MISSING_FLAG,0.0
CODE_GENDER_XNA,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_FAMILY_STATUS_Unknown,0.0
